Customer_ID,recency,frequency,monetary,log_monetary,cluster,segment
CUST_00001,112,3,2199.63,7.696498961988531,1,Loyal Customers
CUST_00002,284,2,809.9000000000001,6.698144741950512,3,New / Low-Engagement
CUST_00003,83,2,3030.81,8.016915079891083,1,Loyal Customers
CUST_00004,42,1,383.22,5.9512153052002965,2,At Risk
CUST_00005,279,3,2422.73,7.793062954846695,3,New / Low-Engagement
CUST_00006,212,3,1245.83,7.1283596092013966,3,New / Low-Engagement
CUST_00007,81,1,1331.55,7.19484967878817,2,At Risk
CUST_00008,169,3,5602.29,8.63110920421268,1,Loyal Customers
CUST_00009,39,1,470.86,6.156682331418567,2,At Risk
CUST_00010,22,3,1421.16,7.25993212161443,1,Loyal Customers
CUST_00011,12,7,6328.45,8.752968623527552,0,Champions
CUST_00012,53,1,794.4,6.67884513277359,2,At Risk
CUST_00013,30,2,667.97,6.5057392160734215,2,At Risk
CUST_00014,170,3,550.5600000000001,6.312750626973541,2,At Risk
CUST_00015,163,4,17407.51,9.764714446101523,1,Loyal Customers
CUST_00016,53,10,7775.48,8.958859072630217,0,Champions
CUST_00017,181,1,903.51,6.807393360606186,2,At Risk
CUST_00018,8,4,3145.06,8.053906155273612,1,Loyal Customers
CUST_00019,27,1,673.1,6.513378467859393,2,At Risk
CUST_00020,50,2,2577.16,7.854831245188472,1,Loyal Customers
CUST_00021,8,3,5200.38,8.556679253976636,1,Loyal Customers
CUST_00022,65,4,933.56,6.840075830291999,2,At Risk
CUST_00023,103,1,105.55,4.668614358544626,2,At Risk
CUST_00024,344,2,333.99,5.814100680633255,3,New / Low-Engagement
CUST_00025,268,2,1061.66,6.9685304776965955,3,New / Low-Engagement
CUST_00026,276,2,790.61,6.674068846291369,3,New / Low-Engagement
CUST_00027,30,4,2577.6099999999997,7.85500577304259,1,Loyal Customers
CUST_00028,128,2,865.42,6.764369779446203,2,At Risk
CUST_00029,1,8,15296.52,9.63544600273901,0,Champions
CUST_00030,47,7,19332.920000000002,9.869616345227637,0,Champions
CUST_00031,17,3,514.58,6.245292480553187,2,At Risk
CUST_00032,221,1,45.36,3.836437018471551,2,At Risk
CUST_00033,139,2,415.38,6.031598304847628,2,At Risk
CUST_00034,369,2,6302.3,8.748828584763114,3,New / Low-Engagement
CUST_00035,17,2,221.73000000000002,5.405960275563393,2,At Risk
CUST_00036,149,3,373.63,5.925938872227775,2,At Risk
CUST_00037,88,1,3599.4,8.188800229382931,1,Loyal Customers
CUST_00038,43,3,1130.59,7.031379002343473,2,At Risk
